ID,Number,From,To,WaitToBoard,TotalTime
0,3,6,5,39,-3
1,6,6,3,39,-3
9,4,4,1,50,-22
3,4,1,2,102,-9
8,2,1,3,93,-18
2,1,1,5,106,-5
4,1,1,5,99,-12
7,3,3,5,126,-17
5,1,5,6,153,-13
6,4,5,6,149,-17
10,1,5,6,11,-192
12,1,5,6,6,-197
14,6,5,6,3,-200
11,3,6,1,29,-193
13,4,1,6,68,-197
16,5,4,2,18,-350
15,3,2,6,42,-350
17,2,5,1,11,-513
22,3,3,1,22,-523
24,6,1,2,42,-526
23,2,1,3,45,-523
21,4,2,3,71,-519
19,6,1,4,52,-516
25,1,1,5,39,-529
18,3,3,5,94,-513
20,4,1,6,49,-519
26,3,2,4,32,-696
29,4,2,6,24,-704
30,6,4,6,46,-706
28,6,1,2,119,-700
27,6,1,3,119,-700
31,2,5,6,18,-878
32,3,5,6,14,-882
36,1,6,2,25,-888
35,4,6,1,26,-887
37,5,6,1,24,-889
41,2,6,1,15,-898
34,6,4,1,52,-885
40,3,1,6,93,-894
33,6,3,6,126,-882
39,4,3,1,173,-894
38,5,2,1,190,-892
45,3,1,6,33,-1067
44,5,5,6,69,-1066
42,4,6,3,91,-1062
47,4,1,2,18,-1242
46,2,2,5,35,-1242
50,1,1,6,14,-1246
48,2,5,6,62,-1244
49,3,2,1,111,-1244
51,6,1,2,4,-1435
56,2,2,5,8,-1448
53,5,4,5,39,-1438
54,2,5,6,53,-1442
52,5,4,1,93,-1437
55,2,3,1,100,-1445
57,5,1,5,119,-1450
58,6,1,6,32,-1618
63,5,1,6,22,-1628
66,2,3,6,36,-1638
60,4,6,2,82,-1625
59,1,6,1,86,-1621
62,2,6,1,80,-1627
61,4,3,1,117,-1627
65,5,2,1,126,-1635
70,3,1,2,0,-1826
68,5,1,4,4,-1821
69,2,3,5,34,-1822
67,3,1,6,4,-1821
74,2,3,6,21,-1835
75,5,6,5,64,-1838
76,4,4,3,91,-1842
72,2,6,2,72,-1830
71,2,4,2,103,-1830
80,3,1,2,4,-2012
78,1,1,4,8,-2008
77,4,1,6,11,-2005
79,5,1,6,8,-2008
81,5,4,2,83,-2016
82,4,1,4,11,-2170
83,1,6,2,60,-2172
85,3,4,2,84,-2177
84,4,5,1,70,-2176
86,2,4,1,82,-2179
87,5,2,1,103,-2182
88,3,1,2,4,-2355
91,4,1,2,3,-2356
90,2,1,4,3,-2356
89,6,3,5,36,-2355
92,2,4,1,77,-2358
93,4,3,6,18,-2521
95,3,6,5,41,-2529
96,5,1,2,90,-2529
94,6,1,4,94,-2525
97,6,1,4,90,-2529
99,1,1,2,159,-2532
100,5,1,2,155,-2536
98,6,1,5,162,-2529
103,2,6,1,30,-2722
101,2,1,2,76,-2719
102,1,1,3,75,-2720
104,4,1,2,18,-2879
109,4,1,2,10,-2887
106,3,1,3,13,-2884
105,2,1,4,17,-2880
107,5,1,5,12,-2885
111,6,4,6,55,-2892
110,3,5,6,73,-2891
108,6,6,2,96,-2885
116,4,1,2,1,-3069
113,3,1,4,8,-3062
115,4,1,5,5,-3065
112,4,1,6,11,-3059
114,5,4,6,49,-3062
117,6,5,6,11,-3229
121,4,3,1,48,-3236
122,3,2,1,61,-3238
126,1,2,1,54,-3245
119,2,1,2,86,-3231
124,1,1,3,76,-3241
123,3,2,3,99,-3238
118,5,1,4,86,-3231
120,6,1,5,82,-3235
127,2,1,6,72,-3245
